anime_id,title,title_english,image_url,type,source,rating,score,premiered,studio,genre
33462,Bernard-jou Iwaku.,Miss Bernard said.,https://myanimelist.cdn-dena.com/images/anime/11/81589.jpg,TV,Manga,PG-13 - Teens 13 or older,6.03,Fall 2016,Creators in Pack,"Comedy, School"
12569,Himitsu no Akko-chan (Movie),,https://myanimelist.cdn-dena.com/images/anime/9/35227.jpg,Movie,Unknown,G - All Ages,6,0,Toei Animation,"Magic, School, Shoujo"
34908,Calihara no Uta,,https://myanimelist.cdn-dena.com/images/anime/7/84224.jpg,Movie,Original,G - All Ages,5.56,0,0,"Music, Kids"
1586,Aoi Umi no Tristia,,https://myanimelist.cdn-dena.com/images/anime/2/18760.jpg,OVA,Visual novel,PG - Children,5.81,0,ufotable,"Adventure, Mecha"
1778,Dae Jang Geum: Jang Geum's Dream,,https://myanimelist.cdn-dena.com/images/anime/1/1778.jpg,TV,Other,PG - Children,7.22,Fall 2005,0,"Adventure, Comedy, Historical"
20057,Space☆Dandy,Space Dandy,https://myanimelist.cdn-dena.com/images/anime/4/56611.jpg,TV,Original,PG-13 - Teens 13 or older,7.88,Winter 2014,Bones,"Sci-Fi, Space, Comedy"
18637,Tetsuwan Atom: Ivan no Wakusei - Robot to Ningen no Yuujou,,https://myanimelist.cdn-dena.com/images/anime/4/49765.jpg,Movie,Unknown,G - All Ages,6.3,0,0,"Action, Mecha, Super Power, Sci-Fi, Shounen"
6828,Ohi-sama to Kaeru,The Sun and the Frogs,https://myanimelist.cdn-dena.com/images/anime/4/15831.jpg,Movie,Original,G - All Ages,4.2,0,0,Comedy
30347,Nanatsu no Taizai OVA,,https://myanimelist.cdn-dena.com/images/anime/6/76269.jpg,OVA,Manga,PG-13 - Teens 13 or older,7.77,0,A-1 Pictures,"Action, Adventure, Supernatural, Magic, Fantasy, Shounen"
14249,Ribbon no Kishi (1999),,https://myanimelist.cdn-dena.com/images/anime/4/74720.jpg,Movie,Unknown,G - All Ages,6.14,0,0,Adventure
18893,Aoki Hagane no Arpeggio: Ars Nova,Arpeggio of Blue Steel -Ars Nova-,https://myanimelist.cdn-dena.com/images/anime/6/56143.jpg,TV,Manga,PG-13 - Teens 13 or older,7.5,Fall 2013,SANZIGEN,"Action, Sci-Fi, Seinen"
35334,ClassicaLoid 2nd Season,ClassicaLoid 2,https://myanimelist.cdn-dena.com/images/anime/2/88678.jpg,TV,Original,PG-13 - Teens 13 or older,6.47,Fall 2017,Sunrise,"Music, Comedy"
36755,Juvenile Pornography The Animation,,https://myanimelist.cdn-dena.com/images/anime/6/88882.jpg,OVA,Manga,Rx - Hentai,6.49,0,Office Takeout,Hentai
3164,Ichigo Ichie: Koibana Tomobana,,https://myanimelist.cdn-dena.com/images/anime/6/4864.jpg,TV,Unknown,G - All Ages,6.81,Fall 2007,0,"Slice of Life, Comedy, School"
2632,Doraemon: Time Machine de Oshougatsu,,,Special,Unknown,PG - Children,6.84,0,0,"Sci-Fi, Adventure, Comedy, Kids, Shounen"
2199,Chirin no Suzu,Ringing Bell,https://myanimelist.cdn-dena.com/images/anime/11/80079.jpg,Movie,Picture book,PG-13 - Teens 13 or older,7.17,0,Sanrio,"Adventure, Drama, Fantasy"
1286,MD Geist II: Death Force,,https://myanimelist.cdn-dena.com/images/anime/9/55867.jpg,OVA,Unknown,R+ - Mild Nudity,5.13,0,Zero-G Room,"Mecha, Military, Sci-Fi"
